統一編號,公司名稱,上市,500大
16594892,建漢科技股份有限公司,1,0
16596337,新桃電力股份有限公司,0,1
16596646,菱光科技股份有限公司,1,0
16631664,艾克爾國際科技股份有限公司,0,1
16631762,榮民工程股份有限公司,0,1
16634206,東安投資股份有限公司,0,1
16636534,寶鑫國際投資股份有限公司,0,1
16638322,中欣開發股份有限公司,0,1
16694999,泛喬股份有限公司,0,1
16740311,遠銀國際租賃股份有限公司,0,1
16743865,華上光電股份有限公司,1,0
16744111,財金資訊股份有限公司,0,1
16744338,開發國際投資股份有限公司,0,1
16749811,和康生物科技股份有限公司,1,0
16766281,懷特生技新藥股份有限公司,1,0
16831570,華泰商業銀行股份有限公司,0,1
16832487,三信商業銀行股份有限公司,0,1
16834268,富喬工業股份有限公司,0,1
16908140,可寧衛股份有限公司,1,0
16992625,麗清科技股份有限公司,1,0
18556774,中國電視事業股份有限公司,1,0
18559415,天仁茶業股份有限公司,1,0
18997007,達欣工程股份有限公司,1,0
19004316,華新科技股份有限公司,1,1
20651901,黑松股份有限公司,1,0
20730758,夆典科技開發股份有限公司,1,0
20747385,亞洲聚合股份有限公司,1,1
20792640,偉聯科技股份有限公司,1,0
20795246,特力股份有限公司,1,1
20817282,中鼎工程股份有限公司,1,1
20828393,宏碁股份有限公司,1,1
20844865,台灣苯乙烯工業股份有限公司,1,1
20846081,海華建設股份有限公司,0,1
20863763,敦吉科技股份有限公司,1,0
20873360,資通電腦股份有限公司,1,0
20889546,茂迪股份有限公司,0,1
20891326,禾伸堂企業股份有限公司,1,0
20927014,大統益股份有限公司,1,0
20937863,統領百貨股份有限公司,1,0
20938096,漢唐集成股份有限公司,1,0
20950226,今皓實業股份有限公司,1,0
20954200,群光電子股份有限公司,1,1
20970807,新巨企業股份有限公司,1,0
20980880,浩鑫股份有限公司,1,0
20982120,鑽全實業股份有限公司,1,0
21204867,台灣晶技股份有限公司,1,0
21222725,仁寶電腦工業股份有限公司,1,1
21230513,飛捷科技股份有限公司,1,0
21257316,太平洋崇光百貨股份有限公司,0,1
22006252,全國電子股份有限公司,1,0
22006274,新美齊股份有限公司,1,0
22029190,仲琦科技股份有限公司,1,0
22044755,技嘉科技股份有限公司,1,1
22050221,遠見科技股份有限公司,1,0
22071751,川飛能源股份有限公司,1,0
22078327,昭輝實業股份有限公司,1,0
22081250,耿鼎企業股份有限公司,1,0
22099110,台灣茂矽電子股份有限公司,1,0
22099131,台灣積體電路製造股份有限公司,1,1
22099189,友訊科技股份有限公司,1,1
22099202,矽統科技股份有限公司,1,1
22099218,華邦電子股份有限公司,1,1
22099287,智邦科技股份有限公司,1,1
22099322,光群雷射科技股份有限公司,1,0
22099408,台灣光罩股份有限公司,1,0
22099478,盟立自動化股份有限公司,1,0
22099499,偉詮電子股份有限公司,1,0
22099532,神基科技股份有限公司,1,1
22099548,旺宏電子股份有限公司,1,1
22099646,和喬科技股份有限公司,0,1
22099694,鈺創科技股份有限公司,0,1
22099738,喬鼎資訊股份有限公司,1,0
22099744,友勁科技股份有限公司,1,0
22099759,虹光精密工業股份有限公司,1,0
22099786,卓越成功股份有限公司,1,0
22099836,乾坤科技股份有限公司,0,1
22099863,星通資訊股份有限公司,1,0
22099890,元太科技工業股份有限公司,0,1
22099907,中強光電股份有限公司,0,1
22100242,台灣福雷電子股份有限公司,0,1
22101050,旺詮股份有限公司,1,0
22101116,華東科技股份有限公司,1,1
22101208,瑞儀光電股份有限公司,1,1
22102298,福懋油脂股份有限公司,1,0
22102473,佳格食品股份有限公司,1,1
22115625,詮欣股份有限公司,1,0
22145016,強茂股份有限公司,1,0
22151585,豐藝電子股份有限公司,1,0
22164527,嘉彰股份有限公司,1,0
22164580,訊舟科技股份有限公司,1,0
22178368,微星科技股份有限公司,0,1
22190686,愛山林建設開發股份有限公司,1,0
22221180,宏盛建設股份有限公司,1,1
22223510,正崴精密工業股份有限公司,1,1
22224692,亞崴機電股份有限公司,1,0
22244141,嘉澤端子工業股份有限公司,1,0
22266307,年興紡織股份有限公司,1,0
22266828,遠鼎投資股份有限公司,0,1
22267777,大統精密染整股份有限公司,1,0
22269487,堤維西交通工業股份有限公司,1,0
22274989,川湖科技股份有限公司,1,0
22301178,台灣氣立股份有限公司,1,0
22304288,鎰勝工業股份有限公司,1,0
22306130,鈞寶電子工業股份有限公司,1,0
22318348,大成不銹鋼工業股份有限公司,1,1
22318678,亞東石化股份有限公司,0,1
22325002,麗臺科技股份有限公司,1,0
22332192,承啟科技股份有限公司,1,0
22344508,宏璟建設股份有限公司,1,0
22354940,信義房屋仲介股份有限公司,1,1
22358734,台驊國際投資控股股份有限公司,1,0
22363342,智伸科技股份有限公司,1,0
22368959,至上電子股份有限公司,1,0
22396792,政伸企業股份有限公司,1,0
22404266,統懋半導體股份有限公司,1,0
22415854,健策精密工業股份有限公司,1,0
22434156,鼎元光電科技股份有限公司,1,0
22447526,廷鑫興業股份有限公司,1,0
22449566,精英電腦股份有限公司,1,1
22480876,大立光電股份有限公司,1,0
22485794,科風股份有限公司,1,0
22488639,聯穎科技股份有限公司,1,0
22491640,櫻花建設股份有限公司,1,0
22507241,京元電子股份有限公司,1,1
22533297,運錩鋼鐵股份有限公司,1,0
22553878,裕元投資股份有限公司,0,1
22555003,統一超商股份有限公司,1,1
22570840,晟鈦股份有限公司,1,0
22601800,光鼎電子股份有限公司,1,0
22624873,海悅國際開發股份有限公司,1,0
22636630,國巨股份有限公司,1,1
22649001,世紀鋼鐵結構股份有限公司,1,0
22659295,聯上開發股份有限公司,1,0
22662545,旭富製藥科技股份有限公司,1,0
22662550,家福股份有限公司,0,1
22671299,瑞昱半導體股份有限公司,1,1
22729784,蔚華科技股份有限公司,1,0
22746550,凱撒衛浴股份有限公司,1,0
22749711,聯德電子股份有限公司,1,0
22764965,順天建設股份有限公司,1,0
22771229,希華晶體科技股份有限公司,1,0
22817273,龍邦國際興業股份有限公司,1,1
22817999,宏遠興業股份有限公司,1,1
22819700,億泰電線電纜股份有限公司,1,0
